iter	Passed	Remaining
0	0	726
1	1	638
2	1	595
3	2	576
4	2	566
5	3	554
6	3	548
7	4	543
8	4	539
9	5	536
10	5	535
11	6	533
12	6	530
13	7	528
14	8	526
15	8	523
16	9	523
17	9	521
18	10	519
19	10	517
20	11	519
21	11	520
22	12	519
23	12	518
24	13	519
25	13	518
26	14	517
27	14	515
28	15	514
29	15	513
30	16	514
31	16	512
32	17	512
33	18	511
34	18	510
35	19	509
36	19	508
37	20	507
38	20	507
39	21	506
40	21	504
41	22	504
42	22	503
43	23	502
44	23	502
45	24	501
46	24	500
47	25	501
48	25	501
49	26	500
50	26	500
51	27	500
52	27	500
53	28	499
54	29	498
55	29	497
56	30	496
57	30	495
58	31	494
59	31	494
60	32	493
61	32	492
62	33	491
63	33	491
64	34	490
65	34	489
66	35	488
67	35	488
68	36	487
69	36	486
70	37	485
71	37	484
72	38	483
73	38	483
74	39	482
75	39	481
76	40	480
77	40	480
78	41	480
79	41	479
80	42	478
81	42	478
82	43	475
83	43	475
84	44	474
85	44	474
86	45	474
87	45	474
88	46	474
89	46	473
90	47	472
91	47	472
92	48	471
93	48	470
94	49	470
95	49	469
96	50	469
97	50	469
98	51	468
99	52	468
100	52	467
101	53	466
102	53	466
103	54	465
104	54	465
105	55	464
106	55	464
107	56	463
108	56	463
109	57	462
110	57	462
111	58	461
112	58	461
113	59	460
114	59	460
115	60	459
116	60	458
117	61	457
118	61	456
119	62	456
120	62	455
121	63	454
122	63	454
123	64	453
124	64	452
125	65	452
126	65	451
127	66	450
128	66	450
129	67	449
130	67	448
131	68	448
132	68	447
133	69	447
134	69	446
135	70	446
136	70	445
137	71	445
138	71	445
139	72	445
140	73	445
141	73	443
142	73	443
143	74	442
144	74	442
145	75	441
146	76	441
147	76	441
148	77	440
149	77	440
150	78	439
151	78	439
152	79	438
153	79	438
154	80	437
155	80	436
156	81	436
157	81	435
158	82	434
159	82	434
160	83	432
161	83	432
162	84	431
163	84	431
164	85	430
165	85	430
166	86	429
167	86	429
168	87	428
169	87	428
170	88	428
171	88	427
172	89	427
173	89	426
174	90	426
175	90	425
176	91	424
177	91	424
178	92	423
179	92	422
180	93	422
181	93	421
182	94	421
183	94	420
184	95	419
185	95	418
186	96	418
187	96	417
188	97	417
189	97	416
190	98	416
191	98	415
192	99	414
193	99	414
194	100	413
195	100	413
196	101	413
197	101	413
198	102	412
199	103	412
200	103	411
201	104	410
202	104	410
203	105	409
204	105	409
205	106	408
206	106	408
207	107	407
208	107	406
209	107	406
210	108	405
211	108	404
212	109	404
213	109	403
214	110	403
215	110	402
216	111	402
217	111	401
218	112	400
219	112	400
220	113	399
221	113	399
222	114	398
223	114	397
224	115	397
225	115	396
226	116	396
227	117	396
228	117	396
229	118	396
230	118	395
231	119	394
232	119	394
233	120	393
234	120	393
235	121	392
236	121	391
237	122	391
238	122	390
239	123	390
240	123	389
241	124	389
242	124	388
243	125	388
244	125	387
245	126	386
246	126	386
247	127	385
248	127	385
249	128	384
250	128	384
251	129	383
252	129	382
253	130	382
254	131	383
255	131	382
256	132	382
257	132	381
258	133	381
259	133	380
260	134	380
261	134	379
262	135	379
263	135	378
264	136	377
265	136	377
266	137	376
267	137	376
268	138	375
269	138	375
270	139	374
271	139	374
272	140	373
273	140	372
274	141	372
275	141	371
276	142	371
277	142	370
278	143	370
279	143	369
280	144	369
281	144	368
282	145	367
283	145	367
284	146	366
285	146	366
286	147	365
287	147	365
288	148	364
289	148	364
290	149	363
291	149	363
292	150	362
293	150	362
294	151	362
295	152	362
296	152	361
297	153	360
298	153	360
299	154	359
300	154	359
301	155	358
302	155	358
303	156	357
304	156	356
305	157	356
306	157	355
307	158	355
308	158	354
309	159	353
310	159	353
311	159	352
312	160	352
313	160	351
314	161	351
315	162	350
316	162	350
317	163	350
318	163	349
319	164	349
320	164	348
321	165	348
322	165	347
323	166	347
324	166	346
325	167	346
326	168	345
327	168	345
328	168	344
329	169	344
330	169	343
331	170	342
332	170	342
333	171	341
334	171	341
335	172	340
336	172	340
337	173	339
338	173	338
339	174	338
340	174	337
341	175	337
342	175	336
343	176	336
344	177	336
345	177	335
346	178	335
347	178	334
348	179	334
349	179	333
350	180	333
351	180	332
352	181	332
353	181	331
354	182	331
355	182	330
356	183	329
357	183	329
358	184	328
359	184	328
360	185	327
361	185	327
362	186	326
363	186	326
364	187	325
365	187	325
366	188	324
367	188	323
368	189	323
369	189	322
370	190	322
371	190	321
372	191	321
373	191	320
374	192	320
375	192	319
376	193	319
377	193	318
378	194	318
379	194	317
380	195	317
381	195	316
382	196	316
383	196	315
384	197	315
385	197	314
386	198	313
387	198	313
388	199	312
389	199	312
390	200	311
391	200	311
392	201	310
393	201	310
394	202	309
395	202	309
396	203	308
397	203	307
398	204	307
399	204	306
400	205	306
401	205	305
402	206	305
403	206	304
404	207	304
405	207	303
406	208	303
407	208	302
408	209	302
409	209	301
410	210	301
411	210	300
412	211	300
413	211	299
414	212	299
415	212	298
416	213	297
417	213	297
418	214	296
419	214	296
420	215	295
421	215	295
422	216	294
423	216	294
424	216	293
425	217	293
426	217	292
427	218	291
428	218	291
429	219	290
430	219	290
431	220	289
432	220	289
433	221	288
434	221	288
435	222	287
436	222	287
437	223	286
438	223	286
439	224	285
440	224	285
441	225	284
442	225	284
443	226	283
444	226	282
445	227	282
446	227	281
447	228	281
448	228	280
449	229	280
450	229	279
451	230	279
452	230	278
453	231	278
454	231	277
455	232	277
456	232	276
457	233	275
458	233	275
459	234	274
460	234	274
461	235	273
462	235	273
463	236	272
464	236	272
465	237	271
466	237	271
467	238	271
468	239	270
469	239	270
470	240	269
471	240	269
472	241	268
473	241	268
474	242	267
475	242	267
476	243	266
477	243	266
478	244	265
479	244	265
480	245	264
481	245	264
482	246	263
483	246	262
484	247	262
485	247	261
486	248	261
487	248	260
488	249	260
489	249	259
490	250	259
491	250	258
492	251	258
493	251	257
494	252	257
495	252	256
496	253	256
497	253	255
498	254	255
499	254	254
500	255	254
501	255	253
502	256	253
503	256	252
504	257	252
505	257	251
506	258	251
507	258	250
508	259	250
509	259	249
510	260	248
511	260	248
512	261	247
513	261	247
514	262	246
515	262	246
516	263	245
517	263	245
518	264	244
519	264	244
520	265	243
521	265	243
522	266	242
523	266	242
524	267	241
525	267	241
526	268	240
527	268	240
528	269	239
529	269	239
530	270	238
531	270	238
532	271	237
533	271	237
534	272	236
535	272	236
536	273	235
537	273	235
538	274	234
539	274	233
540	275	233
541	275	232
542	276	232
543	276	231
544	277	231
545	277	230
546	278	230
547	278	229
548	279	229
549	279	228
550	280	228
551	280	227
552	280	227
553	281	226
554	282	226
555	282	225
556	283	225
557	283	224
558	284	224
559	284	223
560	285	223
561	285	222
562	286	222
563	286	221
564	287	220
565	287	220
566	288	219
567	288	219
568	288	218
569	289	218
570	289	217
571	290	217
572	290	216
573	291	216
574	291	215
575	292	215
576	292	214
577	293	214
578	293	213
579	294	213
580	294	212
581	295	212
582	295	211
583	296	211
584	296	210
585	297	210
586	297	209
587	298	209
588	298	208
589	299	208
590	300	207
591	300	207
592	301	206
593	301	206
594	302	205
595	302	205
596	303	204
597	303	204
598	304	203
599	304	203
600	305	202
601	305	202
602	306	201
603	306	200
604	307	200
605	307	199
606	308	199
607	308	198
608	308	198
609	309	197
610	309	197
611	310	196
612	310	196
613	311	195
614	311	195
615	312	194
616	313	194
617	313	193
618	314	193
619	314	192
620	315	192
621	315	191
622	316	191
623	316	190
624	317	190
625	317	189
626	318	189
627	318	188
628	319	188
629	319	187
630	320	187
631	320	186
632	321	186
633	321	185
634	322	185
635	322	184
636	322	184
637	323	183
638	323	183
639	324	182
640	324	181
641	325	181
642	325	180
643	326	180
644	326	179
645	327	179
646	327	178
647	328	178
648	328	177
649	329	177
650	330	176
651	330	176
652	331	175
653	331	175
654	332	174
655	332	174
656	333	173
657	333	173
658	333	172
659	334	172
660	334	171
661	335	171
662	335	170
663	336	170
664	336	169
665	337	169
666	337	168
667	338	168
668	338	167
669	339	167
670	339	166
671	340	166
672	340	165
673	341	165
674	341	164
675	342	164
676	342	163
677	343	163
678	343	162
679	344	162
680	345	161
681	345	161
682	346	160
683	346	160
684	347	159
685	347	159
686	348	158
687	348	158
688	349	157
689	349	157
690	350	156
691	350	156
692	351	155
693	351	155
694	352	154
695	352	154
696	353	153
697	353	153
698	354	152
699	354	152
700	355	151
701	355	151
702	356	150
703	356	150
704	357	149
705	357	149
706	358	148
707	358	148
708	359	147
709	360	147
710	360	146
711	361	146
712	361	145
713	361	145
714	362	144
715	362	143
716	363	143
717	363	142
718	364	142
719	364	141
720	365	141
721	365	140
722	366	140
723	366	139
724	367	139
725	367	138
726	368	138
727	368	137
728	369	137
729	369	136
730	370	136
731	370	135
732	371	135
733	371	134
734	372	134
735	372	133
736	373	133
737	373	132
738	374	132
739	374	131
740	375	131
741	375	130
742	376	130
743	376	129
744	377	129
745	377	128
746	378	128
747	378	127
748	379	127
749	379	126
750	380	126
751	380	125
752	381	125
753	381	124
754	382	124
755	382	123
756	383	123
757	383	122
758	384	122
759	384	121
760	385	121
761	385	120
762	386	120
763	386	119
764	387	118
765	388	118
766	388	118
767	389	117
768	389	117
769	390	116
770	390	116
771	391	115
772	391	114
773	392	114
774	392	113
775	392	113
776	393	112
777	393	112
778	394	111
779	394	111
780	395	110
781	395	110
782	396	109
783	396	109
784	397	108
785	397	108
786	398	107
787	398	107
788	399	106
789	399	106
790	400	105
791	400	105
792	401	104
793	401	104
794	402	103
795	402	103
796	403	102
797	403	102
798	404	101
799	405	101
800	405	100
801	405	100
802	406	99
803	406	99
804	407	98
805	407	98
806	408	97
807	408	97
808	409	96
809	409	96
810	410	95
811	410	95
812	411	94
813	411	94
814	412	93
815	412	93
816	413	92
817	413	92
818	414	91
819	414	91
820	415	90
821	415	90
822	416	89
823	416	89
824	417	88
825	417	88
826	418	87
827	419	87
828	419	86
829	420	86
830	420	85
831	421	85
832	422	84
833	422	84
834	423	83
835	423	83
836	424	82
837	424	82
838	425	81
839	425	81
840	426	80
841	426	80
842	427	79
843	427	79
844	428	78
845	428	78
846	429	77
847	429	77
848	430	76
849	430	75
850	431	75
851	431	74
852	432	74
853	432	73
854	433	73
855	433	72
856	434	72
857	434	71
858	435	71
859	435	70
860	436	70
861	436	69
862	437	69
863	437	68
864	438	68
865	439	67
866	439	67
867	440	66
868	440	66
869	441	65
870	441	65
871	442	64
872	442	64
873	443	63
874	443	63
875	444	62
876	444	62
877	445	61
878	445	61
879	446	60
880	446	60
881	447	59
882	447	59
883	448	58
884	448	58
885	449	57
886	449	57
887	450	56
888	451	56
889	451	55
890	452	55
891	452	54
892	453	54
893	453	53
894	453	53
895	454	52
896	454	52
897	455	51
898	455	51
899	456	50
900	456	50
901	457	49
902	457	49
903	458	48
904	458	48
905	459	47
906	459	47
907	460	46
908	460	46
909	461	45
910	461	45
911	462	44
912	462	44
913	463	43
914	464	43
915	464	42
916	465	42
917	465	41
918	466	41
919	466	40
920	467	40
921	467	39
922	468	39
923	468	38
924	469	38
925	469	37
926	470	37
927	470	36
928	471	35
929	471	35
930	472	34
931	472	34
932	472	33
933	473	33
934	473	32
935	474	32
936	474	31
937	475	31
938	475	30
939	476	30
940	476	29
941	477	29
942	477	28
943	478	28
944	479	27
945	479	27
946	480	26
947	480	26
948	481	25
949	481	25
950	482	24
951	482	24
952	483	23
953	483	23
954	484	22
955	484	22
956	485	21
957	485	21
958	486	20
959	486	20
960	487	19
961	487	19
962	488	18
963	488	18
964	489	17
965	489	17
966	490	16
967	490	16
968	490	15
969	491	15
970	491	14
971	492	14
972	493	13
973	493	13
974	494	12
975	494	12
976	495	11
977	495	11
978	496	10
979	496	10
980	497	9
981	497	9
982	498	8
983	498	8
984	499	7
985	499	7
986	500	6
987	500	6
988	501	5
989	501	5
990	502	4
991	502	4
992	503	3
993	503	3
994	504	2
995	504	2
996	505	1
997	505	1
998	506	0
999	506	0
